Timestamp,Actual,Naive,Persistence_Enhanced_LSTM,Chronos_Bolt_Tiny
2023-11-29 00:00:00+00:00,37863.0,37839.0,37777.16198694706,38277.94140625
2023-11-30 00:00:00+00:00,37719.0,37863.0,37795.63194483519,38360.2421875
2023-12-01 00:00:00+00:00,38707.0,37719.0,37637.03861474991,38249.28125
2023-12-02 00:00:00+00:00,39474.0,38707.0,38682.82833534479,39337.5390625
2023-12-03 00:00:00+00:00,39989.0,39474.0,39488.916965961456,40277.01171875
2023-12-04 00:00:00+00:00,41985.0,39989.0,40024.3143825531,40555.86328125
2023-12-05 00:00:00+00:00,44075.0,41985.0,42138.10801684856,42739.3828125
2023-12-06 00:00:00+00:00,43764.0,44075.0,44345.373275876045,44866.54296875
2023-12-07 00:00:00+00:00,43291.0,43764.0,43973.86729001999,44415.9140625
2023-12-08 00:00:00+00:00,44193.0,43291.0,43435.282552957535,43428.34375
2023-12-09 00:00:00+00:00,43712.0,44193.0,44368.36837863922,44720.19140625
2023-12-10 00:00:00+00:00,43786.0,43712.0,43817.99443817139,44011.9609375
2023-12-11 00:00:00+00:00,41242.0,43786.0,43867.693492650986,43801.4921875
2023-12-12 00:00:00+00:00,41458.0,41242.0,41131.463915109634,40918.59375
2023-12-13 00:00:00+00:00,42888.0,41458.0,41352.42764914036,41173.375
2023-12-14 00:00:00+00:00,43031.0,42888.0,42860.06449127197,43036.98828125
2023-12-15 00:00:00+00:00,41925.0,43031.0,42994.87412339449,43248.9140625
2023-12-16 00:00:00+00:00,42246.0,41925.0,41805.17406016588,41987.03125
2023-12-17 00:00:00+00:00,41345.0,42246.0,42142.127596735954,42560.34765625
2023-12-18 00:00:00+00:00,42650.0,41345.0,41178.27659189701,40983.77734375
2023-12-19 00:00:00+00:00,42258.0,42650.0,42564.06302154064,42613.81640625
2023-12-20 00:00:00+00:00,43665.0,42258.0,42139.34060025215,42337.765625
2023-12-21 00:00:00+00:00,43873.0,43665.0,43632.74552196264,43964.234375
2023-12-22 00:00:00+00:00,44002.0,43873.0,43843.39257848263,44048.26953125
2023-12-23 00:00:00+00:00,43733.0,44002.0,43970.43552172184,44038.19921875
2023-12-24 00:00:00+00:00,43033.0,43733.0,43674.15136814117,43830.25
2023-12-25 00:00:00+00:00,43591.0,43033.0,42921.93694281578,43146.44140625
2023-12-26 00:00:00+00:00,42510.0,43591.0,43510.852520406246,44140.546875
2023-12-27 00:00:00+00:00,43473.0,42510.0,42354.9521112442,42838.03125
2023-12-28 00:00:00+00:00,42583.0,43473.0,43378.07942819595,43612.765625
2023-12-29 00:00:00+00:00,42072.0,42583.0,42426.19596546888,42580.1015625
2023-12-30 00:00:00+00:00,42148.0,42072.0,41885.949714660645,41972.125
2023-12-31 00:00:00+00:00,42258.0,42148.0,41970.06974935532,42116.015625
2024-01-01 00:00:00+00:00,44187.0,42258.0,42089.22457230091,42484.734375
2024-01-02 00:00:00+00:00,44970.0,44187.0,44140.38525098562,44459.125
2024-01-03 00:00:00+00:00,42865.0,44970.0,44964.931324124336,44957.81640625
2024-01-04 00:00:00+00:00,44186.0,42865.0,42716.33749902248,43210.453125
2024-01-05 00:00:00+00:00,44184.0,44186.0,44122.57018995285,44655.5859375
