Timestamp,Persistence_Enhanced_LSTM
2024-09-16 00:00:00+00:00,59037.26539134979
2024-09-17 00:00:00+00:00,58055.29768681526
2024-09-18 00:00:00+00:00,60289.00788593292
2024-09-19 00:00:00+00:00,61805.17698097229
2024-09-20 00:00:00+00:00,63043.789451122284
2024-09-21 00:00:00+00:00,63304.02375257015
2024-09-22 00:00:00+00:00,63439.39980983734
2024-09-23 00:00:00+00:00,63621.83773505688
2024-09-24 00:00:00+00:00,63339.705312252045
2024-09-25 00:00:00+00:00,64310.190868377686
2024-09-26 00:00:00+00:00,63095.2846391201
2024-09-27 00:00:00+00:00,65235.99030375481
2024-09-28 00:00:00+00:00,65848.70529198647
2024-09-29 00:00:00+00:00,65919.08172893524
2024-09-30 00:00:00+00:00,65597.5278096199
2024-10-01 00:00:00+00:00,63127.894386291504
2024-10-02 00:00:00+00:00,60473.919511556625
2024-10-03 00:00:00+00:00,60295.55698513985
2024-10-04 00:00:00+00:00,60418.66049647331
2024-10-05 00:00:00+00:00,61841.785674631596
2024-10-06 00:00:00+00:00,61824.802039563656
2024-10-07 00:00:00+00:00,62627.44740521908
2024-10-08 00:00:00+00:00,61988.41494560242
2024-10-09 00:00:00+00:00,61909.2581589818
2024-10-10 00:00:00+00:00,60267.75906944275
2024-10-11 00:00:00+00:00,59958.62448644638
2024-10-12 00:00:00+00:00,62275.91048312187
2024-10-13 00:00:00+00:00,63062.45707523823
2024-10-14 00:00:00+00:00,62693.13633686304
2024-10-15 00:00:00+00:00,66119.26536679268
2024-10-16 00:00:00+00:00,67153.42203485966
2024-10-17 00:00:00+00:00,67728.13337182999
2024-10-18 00:00:00+00:00,67454.58293151855
2024-10-19 00:00:00+00:00,68523.84600639343
2024-10-20 00:00:00+00:00,68425.17825496197
2024-10-21 00:00:00+00:00,69089.96859514713
2024-10-22 00:00:00+00:00,67277.1482694149
2024-10-23 00:00:00+00:00,67302.51781535149
2024-10-24 00:00:00+00:00,66451.65482729673
2024-10-25 00:00:00+00:00,68090.29481649399
2024-10-26 00:00:00+00:00,66392.8443505764
2024-10-27 00:00:00+00:00,66837.48551106453
2024-10-28 00:00:00+00:00,67820.52631545067
2024-10-29 00:00:00+00:00,69913.35330712795
2024-10-30 00:00:00+00:00,72886.04788041115
2024-10-31 00:00:00+00:00,72425.37355935574
2024-11-01 00:00:00+00:00,70160.39315575361
2024-11-02 00:00:00+00:00,69355.88855326176
2024-11-03 00:00:00+00:00,69171.11373603344
2024-11-04 00:00:00+00:00,68529.4942766428
2024-11-05 00:00:00+00:00,67546.84871828556
2024-11-06 00:00:00+00:00,69210.86433136463
2024-11-07 00:00:00+00:00,75855.7345007658
2024-11-08 00:00:00+00:00,76114.24602985382
2024-11-09 00:00:00+00:00,76762.93918776512
2024-11-10 00:00:00+00:00,76893.50532531738
2024-11-11 00:00:00+00:00,80805.70634901524
2024-11-12 00:00:00+00:00,89683.4033381939
2024-11-13 00:00:00+00:00,88771.8214108944
2024-11-14 00:00:00+00:00,91347.55394518375
2024-11-15 00:00:00+00:00,87812.09943187237
2024-11-16 00:00:00+00:00,91728.72231960297
2024-11-17 00:00:00+00:00,91119.44227981567
2024-11-18 00:00:00+00:00,90224.7028541565
2024-11-19 00:00:00+00:00,90835.6853466034
2024-11-20 00:00:00+00:00,92794.88116264343
2024-11-21 00:00:00+00:00,94791.31389176846
2024-11-22 00:00:00+00:00,99063.99731504917
2024-11-23 00:00:00+00:00,99557.31957101822
2024-11-24 00:00:00+00:00,98134.65957343578
2024-11-25 00:00:00+00:00,98300.45057237148
2024-11-26 00:00:00+00:00,92921.73133194447
2024-11-27 00:00:00+00:00,91708.11425495148
2024-11-28 00:00:00+00:00,95980.91757464409
2024-11-29 00:00:00+00:00,95591.12965357304
2024-11-30 00:00:00+00:00,97527.50686454773
2024-12-01 00:00:00+00:00,96345.9340928793
2024-12-02 00:00:00+00:00,97222.34569233656
2024-12-03 00:00:00+00:00,95667.09020447731
2024-12-04 00:00:00+00:00,95720.4224280119
2024-12-05 00:00:00+00:00,98729.18060594797
2024-12-06 00:00:00+00:00,96870.29336059093
2024-12-07 00:00:00+00:00,99875.06370973587
2024-12-08 00:00:00+00:00,99874.07162344456
2024-12-09 00:00:00+00:00,101204.30161142349
2024-12-10 00:00:00+00:00,97197.11832118034
2024-12-11 00:00:00+00:00,96319.30770778656
2024-12-12 00:00:00+00:00,101147.28459781408
2024-12-13 00:00:00+00:00,99909.73152565956
2024-12-14 00:00:00+00:00,101348.14320504665
2024-12-15 00:00:00+00:00,101267.48217523098
2024-12-16 00:00:00+00:00,104485.38425517082
2024-12-17 00:00:00+00:00,106198.95571911335
2024-12-18 00:00:00+00:00,106276.17896926403
2024-12-19 00:00:00+00:00,99815.67074799538
2024-12-20 00:00:00+00:00,96867.89851635695
2024-12-21 00:00:00+00:00,97281.85795783997
2024-12-22 00:00:00+00:00,96703.24028873444
2024-12-23 00:00:00+00:00,94478.88751125336
2024-12-24 00:00:00+00:00,94138.0664408207
2024-12-25 00:00:00+00:00,98239.04440975189
2024-12-26 00:00:00+00:00,99071.08408510685
2024-12-27 00:00:00+00:00,95167.61511862278
2024-12-28 00:00:00+00:00,93585.94182252884
2024-12-29 00:00:00+00:00,94642.82846099138
2024-12-30 00:00:00+00:00,92987.2057800889
2024-12-31 00:00:00+00:00,92035.52411270142
2025-01-01 00:00:00+00:00,92864.82016664743
2025-01-02 00:00:00+00:00,93957.71508169174
2025-01-03 00:00:00+00:00,96649.9516724348
2025-01-04 00:00:00+00:00,97955.86335396767
2025-01-05 00:00:00+00:00,98035.519374609
2025-01-06 00:00:00+00:00,98156.41712963581
2025-01-07 00:00:00+00:00,102355.26569843292
2025-01-08 00:00:00+00:00,96646.35941421986
2025-01-09 00:00:00+00:00,94657.81856417656
2025-01-10 00:00:00+00:00,91990.88106656075
2025-01-11 00:00:00+00:00,94297.55309998989
2025-01-12 00:00:00+00:00,94160.32061100006
2025-01-13 00:00:00+00:00,94096.0702239275
2025-01-14 00:00:00+00:00,94116.02317154408
2025-01-15 00:00:00+00:00,96267.64912223816
2025-01-16 00:00:00+00:00,100506.53023338318
2025-01-17 00:00:00+00:00,99911.08404099941
